settlement_id,settlement_utr,status,type,settlement_amount,expected_settlement_amount,bank_credited_amount,bank_vs_expected_diff,classification,reconciliation_reason,action_required,timing_delay_days,settled_payment_count,gross_payment_amount,payment_fee,payment_tax,net_payment_amount,pre_settle_refund_amount,pre_settle_refund_count,pre_settle_refund_ids,adjustment_amount,adjustment_count,adjustment_types,adjustment_ids,bank_txn_count,bank_txn_ids,bank_value_dates,bank_narrations,created_at,settled_at
setl_CQIxJqEeYQlLAh,KKBK03324260508018,processed,regular,1026745,1026745,1026745,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,6,1034710,6750,1215,1026745,0,0,,0,0,,,1,bnktxn_at4Ziu6p3EZnmQ,2026-08-15,NEFT CR RAZORPAYX SETTLEMENT KKBK03324260508018,2026-08-13 23:00:00,2026-08-15 13:00:00
setl_EEEnglyJOOI2Ze,ICIC28217819236534,processed,regular,823307,823307,823307,0,MATCH,Financial records fully reconciled [refund deduction INR 185.66],None (Fully Reconciled),0,10,853811,10117,1821,841873,18566,1,rfnd_C0cpJjQrbFo1So,0,0,,,1,bnktxn_Bc3uXzbmQU7xzC,2026-08-16,NEFT CR RAZORPAYX SETTLEMENT ICIC28217819236534,2026-08-14 23:00:00,2026-08-16 15:00:00
setl_M13oV6iEN8YG4A,PUNB23984716906181,processed,regular,1573551,1573551,1573551,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,8,1609070,30101,5418,1573551,0,0,,0,0,,,1,bnktxn_cxrzrDPZ6vt1IM,2026-08-17,NEFT CR RAZORPAYX SETTLEMENT PUNB23984716906181,2026-08-15 23:00:00,2026-08-17 11:00:00
setl_u6t28EGFyW31SL,PUNB89992751758891,processed,regular,4486364,4486364,4486364,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,5,4491332,4210,758,4486364,0,0,,0,0,,,1,bnktxn_7r3sMGou75u6pK,2026-08-18,NEFT CR RAZORPAYX SETTLEMENT PUNB89992751758891,2026-08-16 23:00:00,2026-08-18 13:00:00
setl_mwtm0vHRArqMBQ,PUNB39243588537982,processed,regular,9295048,9295048,9295048,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,7,9414060,100858,18154,9295048,0,0,,0,0,,,1,bnktxn_4sOpnMYO1vl4PZ,2026-08-19,NEFT CR RAZORPAYX SETTLEMENT PUNB39243588537982,2026-08-17 23:00:00,2026-08-19 10:00:00
setl_FxpzETr7KDIvjq,KKBK14168601347789,processed,regular,1163236,1163236,1163236,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,7,1182433,16268,2929,1163236,0,0,,0,0,,,1,bnktxn_AmrdBOFMgEByuh,2026-08-20,NEFT CR RAZORPAYX SETTLEMENT KKBK14168601347789,2026-08-18 23:00:00,2026-08-20 13:00:00
setl_ilhxWZdc2ergJI,SBIN21630900159446,processed,regular,3092001,3092001,3092001,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,6,3164475,61418,11056,3092001,0,0,,0,0,,,1,bnktxn_NMKWr7Jw1pjbJL,2026-08-21,NEFT CR RAZORPAYX SETTLEMENT SBIN21630900159446,2026-08-19 23:00:00,2026-08-21 12:00:00
setl_uWokZ90ynINb9k,HDFC99471136337922,processed,regular,1400130,1400130,1400130,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,8,1418570,15626,2814,1400130,0,0,,0,0,,,1,bnktxn_apQtBL3M2yCnog,2026-08-22,NEFT CR RAZORPAYX SETTLEMENT HDFC99471136337922,2026-08-20 23:00:00,2026-08-22 12:00:00
setl_2fATCCjV4y2NWy,HDFC84376855078967,processed,regular,4562242,4562242,4562242,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,5,4564535,1943,350,4562242,0,0,,0,0,,,1,bnktxn_jTeM1SRykYznnu,2026-08-23,NEFT CR RAZORPAYX SETTLEMENT HDFC84376855078967,2026-08-21 23:00:00,2026-08-23 18:00:00
setl_wzrpTs5oyM4E9b,PUNB93170695560767,processed,regular,3396513,3396513,3396513,0,MATCH,Financial records fully reconciled,None (Fully Reconciled),0,7,3477228,68403,12312,3396513,0,0,,0,0,,,1,bnktxn_qworx6qEkko2LP,2026-08-24,NEFT CR RAZORPAYX SETTLEMENT PUNB93170695560767,2026-08-22 23:00:00,2026-08-24 15:00:00
setl_HMHZm2cyxdWofT,ICIC19804184724264,processed,regular,1595818,1595818,1595818,0,MATCH,Financial records fully reconciled [refund deduction INR 184.38],None (Fully Reconciled),0,7,1621032,5743,1033,1614256,18438,1,rfnd_vAQ1qwfagTZFpL,0,0,,,1,bnktxn_tkHeo3fNdKPYY3,2026-08-25,NEFT CR RAZORPAYX SETTLEMENT ICIC19804184724264,2026-08-23 23:00:00,2026-08-25 11:00:00
