bank_txn_id,utr,amount,type,value_date,narration,account_number
bnktxn_XKh2oWOcKIebP0,KKBK80925502130609,4708826,credit,2026-07-14,NEFT CR RAZORPAYX SETTLEMENT KKBK80925502130609,XXXXXXXX4821
bnktxn_4kxVbBZtjcDAT4,PUNB79457727853242,7258734,credit,2026-07-15,NEFT CR RAZORPAYX SETTLEMENT PUNB79457727853242,XXXXXXXX4821
bnktxn_3UQYNx5DJ3WYAx,UTIB77675556283333,2377280,credit,2026-07-16,NEFT CR RAZORPAYX SETTLEMENT UTIB77675556283333,XXXXXXXX4821
bnktxn_lrVRKXjPzKYZmj,KKBK60335826862703,1514979,credit,2026-07-17,NEFT CR RAZORPAYX SETTLEMENT KKBK60335826862703,XXXXXXXX4821
bnktxn_exN6uL51CEvTls,KKBK80111000515532,2438285,credit,2026-07-18,NEFT CR RAZORPAYX SETTLEMENT KKBK80111000515532,XXXXXXXX4821
bnktxn_XbLS0x7CLKlC5b,UTIB28874312710267,1418173,credit,2026-07-19,NEFT CR RAZORPAYX SETTLEMENT UTIB28874312710267,XXXXXXXX4821
bnktxn_qmGrH56bFu5kdP,SBIN62135415970996,1784734,credit,2026-07-20,NEFT CR RAZORPAYX SETTLEMENT SBIN62135415970996,XXXXXXXX4821
bnktxn_rSyvxZG2YBATvi,HDFC58029090463766,1009454,credit,2026-07-21,NEFT CR RAZORPAYX SETTLEMENT HDFC58029090463766,XXXXXXXX4821
bnktxn_D9ULJsIWDcsvbA,UTIB83325848689993,536292,credit,2026-07-21,NEFT CR RAZORPAYX SETTLEMENT UTIB83325848689993,XXXXXXXX4821
bnktxn_4nDiA9dp8j5O7g,PUNB24632037476775,64435,credit,2026-07-23,NEFT CR RAZORPAYX SETTLEMENT PUNB24632037476775,XXXXXXXX4821
bnktxn_UaVZv36NejLO93,HDFC58102131251293,435512,credit,2026-07-23,NEFT CR RAZORPAYX SETTLEMENT HDFC58102131251293,XXXXXXXX4821
bnktxn_TFMTlEsURL33dC,PUNB12110633016583,1683368,credit,2026-07-23,NEFT CR RAZORPAYX SETTLEMENT PUNB12110633016583,XXXXXXXX4821
bnktxn_wVpHaP49RqsWke,PUNB13253269496843,790513,credit,2026-07-24,NEFT CR RAZORPAYX SETTLEMENT PUNB13253269496843,XXXXXXXX4821
bnktxn_WFuIVmoLkcSwAD,PUNB70159591945757,2839273,credit,2026-07-25,NEFT CR RAZORPAYX SETTLEMENT PUNB70159591945757,XXXXXXXX4821
bnktxn_bzEjrvmbFzkt19,ICIC66025626506229,1647136,credit,2026-07-26,NEFT CR RAZORPAYX SETTLEMENT ICIC66025626506229,XXXXXXXX4821
bnktxn_tOkvOtRNBNhMiH,UTIB05115794238736,1440855,credit,2026-07-27,NEFT CR RAZORPAYX SETTLEMENT UTIB05115794238736,XXXXXXXX4821
bnktxn_K6oTLNp00pFKE4,SBIN63353574859532,3448096,credit,2026-07-28,NEFT CR RAZORPAYX SETTLEMENT SBIN63353574859532,XXXXXXXX4821
bnktxn_EJjYr9uFuM4Im0,KKBK41763425073305,1323615,credit,2026-07-29,NEFT CR RAZORPAYX SETTLEMENT KKBK41763425073305,XXXXXXXX4821
bnktxn_JXDyuPxm5ccCma,PUNB83750566186323,74615,credit,2026-07-30,NEFT CR RAZORPAYX SETTLEMENT PUNB83750566186323,XXXXXXXX4821
bnktxn_X6jCOyJkMCWug7,KKBK84366044324006,1111649,credit,2026-07-30,NEFT CR RAZORPAYX SETTLEMENT KKBK84366044324006,XXXXXXXX4821
bnktxn_WcPsuKWKc4GdUT,HDFC05875256806562,5741883,credit,2026-07-31,NEFT CR RAZORPAYX SETTLEMENT HDFC05875256806562,XXXXXXXX4821
bnktxn_f0nCkhW63qopdP,HDFC55516517680866,981913,credit,2026-08-01,NEFT CR RAZORPAYX SETTLEMENT HDFC55516517680866,XXXXXXXX4821
bnktxn_cnoLFawSfL4xG5,ICIC28556608470681,7467495,credit,2026-08-02,NEFT CR RAZORPAYX SETTLEMENT ICIC28556608470681,XXXXXXXX4821
bnktxn_tpF4F79zLnzB2p,KKBK71506662670551,737555,credit,2026-08-02,NEFT CR RAZORPAYX SETTLEMENT KKBK71506662670551,XXXXXXXX4821
bnktxn_9PQGXznlhcyZgV,SBIN86239453546147,4844165,credit,2026-08-03,NEFT CR RAZORPAYX SETTLEMENT SBIN86239453546147,XXXXXXXX4821
bnktxn_8UyUuDzMWk6FEJ,KKBK45703943804032,3302784,credit,2026-08-04,NEFT CR RAZORPAYX SETTLEMENT KKBK45703943804032,XXXXXXXX4821
bnktxn_vZNDwNusxdZHLh,ICIC01284008385076,91939,credit,2026-08-04,NEFT CR RAZORPAYX SETTLEMENT ICIC01284008385076,XXXXXXXX4821
bnktxn_2gd8tQ9iSq0yjr,UTIB12198819277885,3171812,credit,2026-08-04,NEFT CR RAZORPAYX SETTLEMENT UTIB12198819277885,XXXXXXXX4821
bnktxn_xerAPbtXc5htjq,KKBK00404769210533,1016046,credit,2026-08-05,NEFT CR RAZORPAYX SETTLEMENT KKBK00404769210533,XXXXXXXX4821
bnktxn_jnezRybcFB1DAl,HDFC72011379844097,1599935,credit,2026-08-06,NEFT CR RAZORPAYX SETTLEMENT HDFC72011379844097,XXXXXXXX4821
bnktxn_MxD0EIkxQ5xUJI,ICIC40433700968730,3945949,credit,2026-08-07,NEFT CR RAZORPAYX SETTLEMENT ICIC40433700968730,XXXXXXXX4821
bnktxn_Erv8GtFUzd8LtZ,KKBK88558298493306,26709,credit,2026-08-09,NEFT CR RAZORPAYX SETTLEMENT KKBK88558298493306,XXXXXXXX4821
bnktxn_G63OjMvIO1Vk2Z,ICIC78656194255778,5772513,credit,2026-08-10,NEFT CR RAZORPAYX SETTLEMENT ICIC78656194255778,XXXXXXXX4821
bnktxn_ReeqC8hB8wQzaS,HDFC43643813000413,3073118,credit,2026-08-10,NEFT CR RAZORPAYX SETTLEMENT HDFC43643813000413,XXXXXXXX4821
bnktxn_mAZ04jBJKq6nae,ICIC19646300402369,149569,credit,2026-08-10,NEFT CR RAZORPAYX SETTLEMENT ICIC19646300402369,XXXXXXXX4821
bnktxn_oKwVASWgoOPDj1,KKBK08190482357155,1118560,credit,2026-08-11,NEFT CR RAZORPAYX SETTLEMENT KKBK08190482357155,XXXXXXXX4821
bnktxn_TJ7K3SIt6JQtg5,HDFC14551293913044,511228,credit,2026-08-11,NEFT CR RAZORPAYX SETTLEMENT HDFC14551293913044,XXXXXXXX4821
bnktxn_rSKyZ7IPUdqLhS,SBIN48739610290871,2788331,credit,2026-08-12,NEFT CR RAZORPAYX SETTLEMENT SBIN48739610290871,XXXXXXXX4821
bnktxn_byc9FW5fEqIffp,KKBK07075504768169,605033,credit,2026-08-13,NEFT CR RAZORPAYX SETTLEMENT KKBK07075504768169,XXXXXXXX4821
bnktxn_6p674ihbkfKlQm,SBIN81670468611145,1882939,credit,2026-08-14,NEFT CR RAZORPAYX SETTLEMENT SBIN81670468611145,XXXXXXXX4821
bnktxn_at4Ziu6p3EZnmQ,KKBK03324260508018,1026745,credit,2026-08-15,NEFT CR RAZORPAYX SETTLEMENT KKBK03324260508018,XXXXXXXX4821
bnktxn_oTCZS86hgkiiV8,PUNB21377306260423,4594876,credit,2026-08-15,NEFT CR RAZORPAYX SETTLEMENT PUNB21377306260423,XXXXXXXX4821
bnktxn_Bc3uXzbmQU7xzC,ICIC28217819236534,823307,credit,2026-08-16,NEFT CR RAZORPAYX SETTLEMENT ICIC28217819236534,XXXXXXXX4821
bnktxn_cxrzrDPZ6vt1IM,PUNB23984716906181,1573551,credit,2026-08-17,NEFT CR RAZORPAYX SETTLEMENT PUNB23984716906181,XXXXXXXX4821
bnktxn_7r3sMGou75u6pK,PUNB89992751758891,4486364,credit,2026-08-18,NEFT CR RAZORPAYX SETTLEMENT PUNB89992751758891,XXXXXXXX4821
bnktxn_4sOpnMYO1vl4PZ,PUNB39243588537982,9295048,credit,2026-08-19,NEFT CR RAZORPAYX SETTLEMENT PUNB39243588537982,XXXXXXXX4821
bnktxn_AmrdBOFMgEByuh,KKBK14168601347789,1163236,credit,2026-08-20,NEFT CR RAZORPAYX SETTLEMENT KKBK14168601347789,XXXXXXXX4821
bnktxn_NMKWr7Jw1pjbJL,SBIN21630900159446,3092001,credit,2026-08-21,NEFT CR RAZORPAYX SETTLEMENT SBIN21630900159446,XXXXXXXX4821
bnktxn_apQtBL3M2yCnog,HDFC99471136337922,1400130,credit,2026-08-22,NEFT CR RAZORPAYX SETTLEMENT HDFC99471136337922,XXXXXXXX4821
bnktxn_jTeM1SRykYznnu,HDFC84376855078967,4562242,credit,2026-08-23,NEFT CR RAZORPAYX SETTLEMENT HDFC84376855078967,XXXXXXXX4821
bnktxn_qworx6qEkko2LP,PUNB93170695560767,3396513,credit,2026-08-24,NEFT CR RAZORPAYX SETTLEMENT PUNB93170695560767,XXXXXXXX4821
bnktxn_tkHeo3fNdKPYY3,ICIC19804184724264,1595818,credit,2026-08-25,NEFT CR RAZORPAYX SETTLEMENT ICIC19804184724264,XXXXXXXX4821
