payment_id,order_id,merchant_id,amount,currency,method,status,fee,tax,net_amount,created_at,captured_at,settlement_id,notes
pay_qlL9qcgMBwUYuB,order_MGhy5KmqcTBaH7,acc_ACMERT0001,101651,INR,netbanking,failed,0,0,0,2026-07-01 18:27:04,,,
pay_tWy2591AIVVIZM,order_5oForBFbyvQRZz,acc_ACMERT0001,333827,INR,upi,captured,0,0,333827,2026-07-02 07:58:25,2026-07-02 07:58:27,setl_iznQCtISRtvoKZ,
pay_0FgB9xO51DTjBl,order_UH9PrNZ6IXEDB0,acc_ACMERT0001,26088,INR,upi,captured,0,0,26088,2026-07-02 09:17:56,2026-07-02 09:18:26,setl_iznQCtISRtvoKZ,
pay_KR69yz8TmeLS1O,order_pgSXt2RMZhYKYc,acc_ACMERT0001,147142,INR,card,captured,2943,530,143669,2026-07-02 09:32:41,2026-07-02 09:33:08,setl_iznQCtISRtvoKZ,
pay_Wb8pm1bNjpiEQh,order_K8nDSqXxkMM9VT,acc_ACMERT0001,526147,INR,card,failed,0,0,0,2026-07-02 10:37:01,,,
pay_CYbfsozSptQLxE,order_JHwBVJvwSDrtqo,acc_ACMERT0001,17835,INR,card,captured,357,64,17414,2026-07-02 12:12:13,2026-07-02 12:12:31,setl_iznQCtISRtvoKZ,
pay_fPBi3DldqyunDu,order_vW4yrW81Aq1fEb,acc_ACMERT0001,32935,INR,upi,refunded,0,0,32935,2026-07-02 14:41:04,2026-07-02 14:41:07,,
pay_KNQyvbF2ulFnwZ,order_qvr4MS4rJaH8mf,acc_ACMERT0001,195536,INR,card,captured,3911,704,190921,2026-07-02 14:44:30,2026-07-02 14:45:02,setl_z0FgrLsN1He1Ns,
pay_DiZDQHJMu8W5CN,order_0U5GB16JC5kV3E,acc_ACMERT0001,868636,INR,upi,captured,0,0,868636,2026-07-02 15:49:49,2026-07-02 15:50:05,setl_iznQCtISRtvoKZ,
pay_ULWHMsg1msoxlt,order_aTIircdJsS8iO3,acc_ACMERT0001,10803,INR,upi,captured,0,0,10803,2026-07-02 16:30:30,2026-07-02 16:30:42,setl_iznQCtISRtvoKZ,
pay_rCeTsprvu5Ifij,order_oySjTneAAvIDAd,acc_ACMERT0001,55120,INR,card,failed,0,0,0,2026-07-02 19:30:00,,,
pay_2XeDA4OKmTSyFz,order_pjPSa5W3X4gXBo,acc_ACMERT0001,3172472,INR,card,captured,63449,11421,3097602,2026-07-02 21:03:35,2026-07-02 21:03:43,setl_iznQCtISRtvoKZ,
pay_9dq83Eh0ezFeKO,order_RdjjZK8tfphJWA,acc_ACMERT0001,436650,INR,upi,failed,0,0,0,2026-07-02 23:24:28,,,
pay_lLBO0FfEwAvuQg,order_2kvASFsQ8z0WJc,acc_ACMERT0001,31186,INR,upi,failed,0,0,0,2026-07-03 10:49:25,,,
pay_JAfo16hD8hP1jF,order_7TsGTrA1EEpDJj,acc_ACMERT0001,3131716,INR,card,refunded,62634,11274,3057808,2026-07-03 11:55:04,2026-07-03 11:55:31,,
pay_3LBtKNdN9Vg8Wn,order_OnqQfkplJekaAC,acc_ACMERT0001,58556,INR,upi,captured,0,0,58556,2026-07-03 14:18:45,2026-07-03 14:19:15,setl_Uhvfg8zKS8RyZA,
pay_WOT3gCkSt5bcuY,order_dswxBjpHAKRYlk,acc_ACMERT0001,150281,INR,card,captured,3006,541,146734,2026-07-03 14:31:58,2026-07-03 14:32:13,setl_Uhvfg8zKS8RyZA,
pay_0aQ3IDAdmHxNWF,order_OCWdnrJi7sC4SF,acc_ACMERT0001,3553792,INR,card,captured,71076,12794,3469922,2026-07-03 14:45:10,2026-07-03 14:45:11,setl_Uhvfg8zKS8RyZA,
pay_eEYqvNSzPf2v2R,order_2Iy9uOT4WF3IcN,acc_ACMERT0001,125334,INR,card,captured,2507,451,122376,2026-07-03 14:47:05,2026-07-03 14:47:12,setl_Uhvfg8zKS8RyZA,
pay_v7YGr0asUt1LLQ,order_F3jCIEwvJWIyD7,acc_ACMERT0001,25650,INR,card,captured,513,92,25045,2026-07-03 19:14:54,2026-07-03 19:14:57,setl_Uhvfg8zKS8RyZA,
pay_uVET6ZyyQY0PjF,order_9ciG9Lv3g32CgH,acc_ACMERT0001,19447,INR,netbanking,failed,0,0,0,2026-07-03 20:55:41,,,
pay_eRo7qYYOLQZ7mB,order_hIoPj6r0jedkYt,acc_ACMERT0001,502630,INR,upi,captured,0,0,502630,2026-07-03 21:07:29,2026-07-03 21:07:55,setl_AcXaOxTvZNxvag,
pay_8rGIFCfMc4BVuM,order_qbfo9R13KL8bWR,acc_ACMERT0001,95925,INR,netbanking,captured,1823,328,93774,2026-07-03 22:33:41,2026-07-03 22:33:59,,
pay_OqDqQa5ZD5sRIk,order_eC8wLtO9BSqD2t,acc_ACMERT0001,176670,INR,card,captured,3533,636,172501,2026-07-04 10:15:24,2026-07-04 10:16:01,setl_JdRxgka9Haauyt,
pay_D9ejW9o3RURz92,order_ZJxfYzaqIhDxRV,acc_ACMERT0001,147379,INR,upi,captured,0,0,147379,2026-07-04 10:43:14,2026-07-04 10:43:54,setl_JdRxgka9Haauyt,
pay_dE2zBRgFT6Ce5f,order_uMjeirNOLJTuyM,acc_ACMERT0001,162774,INR,upi,captured,0,0,162774,2026-07-04 10:50:44,2026-07-04 10:51:20,setl_JdRxgka9Haauyt,
pay_sSsb1QzraK3RXV,order_d6MVF155sXZoMZ,acc_ACMERT0001,115700,INR,card,failed,0,0,0,2026-07-04 11:40:06,,,
pay_bdYvpiYKne1WJn,order_Ln03ovXjY5Mar2,acc_ACMERT0001,3265827,INR,wallet,captured,57152,10287,3198388,2026-07-04 15:51:11,2026-07-04 15:51:13,setl_JdRxgka9Haauyt,
pay_iawYYpLublqdiV,order_AHhVeECXxGLgCG,acc_ACMERT0001,186695,INR,card,failed,0,0,0,2026-07-04 16:29:41,,,
pay_PctYCcLxUif6su,order_VAlmiYI4xHG6r1,acc_ACMERT0001,705254,INR,card,captured,14105,2539,688610,2026-07-04 16:47:55,2026-07-04 16:48:03,setl_JdRxgka9Haauyt,
pay_9JJvQhAw3Q8WB3,order_6Ud9sMtwgKGnjQ,acc_ACMERT0001,567121,INR,upi,captured,0,0,567121,2026-07-04 18:07:48,2026-07-04 18:08:03,setl_JdRxgka9Haauyt,
pay_U3nBC4oAv0DzAU,order_guBuQqx9jR7Eef,acc_ACMERT0001,16328,INR,netbanking,captured,310,56,15962,2026-07-04 18:51:08,2026-07-04 18:51:46,setl_JdRxgka9Haauyt,
pay_48Ju6NoPeO0D6S,order_tPAhic8ctFhgp4,acc_ACMERT0001,147258,INR,upi,captured,0,0,147258,2026-07-04 20:37:47,2026-07-04 20:38:14,setl_JdRxgka9Haauyt,
pay_Pg1FNA88rcSxnC,order_C8p2xgRxI5Pwdz,acc_ACMERT0001,4980439,INR,card,captured,99609,17930,4862900,2026-07-04 21:05:42,2026-07-04 21:06:21,setl_JdRxgka9Haauyt,
pay_CgZ51vTfGPlcpT,order_CCHHNkxx6syAXv,acc_ACMERT0001,31931,INR,upi,captured,0,0,31931,2026-07-05 09:21:06,2026-07-05 09:21:31,setl_Nc7I49Y8hZ7t7s,
pay_BLzHfz3tVvovXk,order_eGOhHGm5XwwU90,acc_ACMERT0001,16737,INR,upi,captured,0,0,16737,2026-07-05 11:16:12,2026-07-05 11:16:22,setl_Nc7I49Y8hZ7t7s,
pay_wBhsRRLFHQtcoz,order_Mdant8nXiWqsuh,acc_ACMERT0001,384229,INR,card,captured,7685,1383,375161,2026-07-05 11:24:34,2026-07-05 11:25:07,,
pay_sqU2Q96M3jvfLQ,order_j6wt9PSQziMT8f,acc_ACMERT0001,136108,INR,card,captured,2722,490,132896,2026-07-05 11:42:44,2026-07-05 11:43:18,setl_Nc7I49Y8hZ7t7s,
pay_2JX0NNRPJbM7Q1,order_SrblrSWt6vwal3,acc_ACMERT0001,68241,INR,card,failed,0,0,0,2026-07-05 11:47:40,,,
pay_WWPel8XOFDWKWL,order_CR74KPONu3OujC,acc_ACMERT0001,129382,INR,card,captured,2588,466,126328,2026-07-05 15:37:03,2026-07-05 15:37:08,setl_Nc7I49Y8hZ7t7s,
pay_fPQBGxbxtl8nv8,order_XFmoijes2YgGXI,acc_ACMERT0001,239581,INR,netbanking,refunded,4552,819,234210,2026-07-05 17:56:49,2026-07-05 17:57:28,,
pay_J1QZwez3VcBbD6,order_e3uKBKzTOAshzb,acc_ACMERT0001,40152,INR,wallet,captured,703,127,39322,2026-07-05 18:05:27,2026-07-05 18:05:43,setl_Nc7I49Y8hZ7t7s,
pay_fVHnyADvkxtUuX,order_8KMf4djkWNdRfr,acc_ACMERT0001,165879,INR,upi,captured,0,0,165879,2026-07-05 20:17:13,2026-07-05 20:17:21,setl_Nc7I49Y8hZ7t7s,
pay_tDCcdx1seP32fN,order_MGyDLJ9YV5cC6Z,acc_ACMERT0001,49649,INR,upi,failed,0,0,0,2026-07-05 22:32:09,,,
pay_yjkl1SXNZ5kUCc,order_AxRUpCNsWVYCoI,acc_ACMERT0001,4289887,INR,card,captured,85798,15444,4188645,2026-07-05 22:57:53,2026-07-05 22:58:30,setl_Nc7I49Y8hZ7t7s,
pay_CNa5fbqn1jJ8UM,order_HBhXspthdpAOYN,acc_ACMERT0001,42756,INR,upi,captured,0,0,42756,2026-07-06 07:40:32,2026-07-06 07:40:42,setl_Yzcwd66EZ16QTW,
pay_XLVWvicwIv0Pl1,order_XRDSEOlZieTX8D,acc_ACMERT0001,23072,INR,card,captured,461,83,22528,2026-07-06 08:20:59,2026-07-06 08:21:25,setl_Yzcwd66EZ16QTW,
pay_iHxzuPrp9hbVlF,order_Hy6JhqXqTCnNsS,acc_ACMERT0001,82148,INR,netbanking,captured,1561,281,80306,2026-07-06 11:54:04,2026-07-06 11:54:33,setl_Yzcwd66EZ16QTW,
pay_DZJiN4fetzTUEH,order_AXA0KeiuPeCDRH,acc_ACMERT0001,778083,INR,card,captured,15562,2801,759720,2026-07-06 12:49:08,2026-07-06 12:49:12,setl_Yzcwd66EZ16QTW,
pay_DXsXyGHA9k0mZM,order_i3qdPE3xJ7gT2H,acc_ACMERT0001,20506,INR,netbanking,captured,390,70,20046,2026-07-06 15:28:57,2026-07-06 15:29:25,setl_Yzcwd66EZ16QTW,
pay_UBfBM0lIsugfuQ,order_stCMTBkSCwCcU3,acc_ACMERT0001,164017,INR,netbanking,failed,0,0,0,2026-07-06 15:40:50,,,
pay_spNZkvkMuLy2fg,order_stCMTBkSCwCcU3,acc_ACMERT0001,164017,INR,netbanking,captured,3116,561,160340,2026-07-06 15:42:50,2026-07-06 15:42:53,setl_YVajIBF5f7YZSP,retry after failed attempt
pay_eQOzxGZVRk8bj2,order_MRYCciepXPxxy8,acc_ACMERT0001,167944,INR,upi,captured,0,0,167944,2026-07-06 18:23:28,2026-07-06 18:24:05,setl_Yzcwd66EZ16QTW,
pay_sBaNwpKAlQQfHx,order_e9HIGYGJby3EcO,acc_ACMERT0001,54257,INR,card,captured,1085,195,52977,2026-07-06 18:50:04,2026-07-06 18:50:11,setl_Yzcwd66EZ16QTW,
pay_0IEqcWPmsw3Xd3,order_PvrhZxB4zVC59y,acc_ACMERT0001,42605,INR,card,captured,852,153,41600,2026-07-06 18:59:51,2026-07-06 18:59:57,setl_Yzcwd66EZ16QTW,
pay_fZR92uQwTeJIs5,order_t2kTT7SOlYxGoh,acc_ACMERT0001,448235,INR,wallet,captured,7844,1412,438979,2026-07-06 22:01:23,2026-07-06 22:01:47,setl_Yzcwd66EZ16QTW,
pay_f86o0C4w7bAdzG,order_xpyfxobu7g1TPv,acc_ACMERT0001,28800,INR,netbanking,captured,547,98,28155,2026-07-06 22:44:53,2026-07-06 22:45:24,setl_Yzcwd66EZ16QTW,
pay_PREsIa2gBi4qUx,order_WzxczdKJmxJsey,acc_ACMERT0001,493308,INR,upi,captured,0,0,493308,2026-07-07 10:08:06,2026-07-07 10:08:28,setl_sulTf3i7HMM2gx,
pay_X1yj0RpcK8Shmb,order_CuAjASnAGXN6E3,acc_ACMERT0001,940058,INR,netbanking,captured,17861,3215,918982,2026-07-07 11:33:13,2026-07-07 11:33:44,setl_JENytFYXsXRSdH,
pay_Hjtkku7Tow88H5,order_s2fqmO9JriOtNI,acc_ACMERT0001,90421,INR,card,captured,1808,325,88288,2026-07-07 12:42:39,2026-07-07 12:43:18,setl_JENytFYXsXRSdH,
pay_kCAEDnvMju3TuU,order_3wziWxGJgupDhr,acc_ACMERT0001,13316,INR,upi,captured,0,0,13316,2026-07-07 16:24:55,2026-07-07 16:25:11,setl_JENytFYXsXRSdH,
pay_935k0u7KUumWkF,order_GDF4tFbf8zGD9p,acc_ACMERT0001,63248,INR,card,failed,0,0,0,2026-07-07 16:31:38,,,
pay_J8xWjmMGzGccci,order_TvZEHDjM5Giu7N,acc_ACMERT0001,128442,INR,card,captured,2569,462,125411,2026-07-07 17:32:53,2026-07-07 17:33:25,setl_JENytFYXsXRSdH,
pay_v17Kc03bfc8PXK,order_qPnXKANObF4OIs,acc_ACMERT0001,26048,INR,upi,captured,0,0,26048,2026-07-07 19:19:29,2026-07-07 19:19:33,setl_V9TBQu96WK3Sla,
pay_TKtE0bxvRhALtY,order_5U3SObMEq9PYXL,acc_ACMERT0001,811868,INR,upi,partially_refunded,0,0,811868,2026-07-07 22:10:33,2026-07-07 22:11:13,setl_JENytFYXsXRSdH,
pay_zHiUo1aWbtDRUI,order_BIy0opDwjrm74U,acc_ACMERT0001,37475,INR,upi,captured,0,0,37475,2026-07-08 07:15:13,2026-07-08 07:15:52,setl_RSc6ngD8l5oTue,
pay_RWmlN2O5z0BGuf,order_zQgliEu7paqypC,acc_ACMERT0001,2266452,INR,upi,partially_refunded,0,0,2266452,2026-07-08 07:16:41,2026-07-08 07:16:57,setl_RSc6ngD8l5oTue,
pay_4catKMg7vsDPIH,order_F48i2GDrmZhvkU,acc_ACMERT0001,22202,INR,upi,captured,0,0,22202,2026-07-08 07:47:21,2026-07-08 07:47:58,setl_RSc6ngD8l5oTue,
pay_r7JSrigNVLppdQ,order_5HoOodgAvTEgRX,acc_ACMERT0001,4896926,INR,card,failed,0,0,0,2026-07-08 12:26:41,,,
pay_cCMRT3dpVczCoI,order_nW3XdiGso06UKu,acc_ACMERT0001,536241,INR,upi,captured,0,0,536241,2026-07-08 14:19:56,2026-07-08 14:20:30,setl_RSc6ngD8l5oTue,
pay_uEwJ77YUrshKRI,order_y5z0w9XZjscs9T,acc_ACMERT0001,3751346,INR,card,captured,75027,13505,3662814,2026-07-08 15:47:30,2026-07-08 15:48:05,setl_RSc6ngD8l5oTue,
pay_yu9lD6IvIwRX3U,order_RPZSqNEm9prJto,acc_ACMERT0001,4234539,INR,wallet,captured,74104,13339,4147096,2026-07-08 16:45:13,2026-07-08 16:45:45,setl_RSc6ngD8l5oTue,
pay_WIZQ0nWpRWM3Yf,order_HCHTxe6Khd1J5G,acc_ACMERT0001,93132,INR,card,captured,1863,335,90934,2026-07-08 17:54:33,2026-07-08 17:54:47,setl_RSc6ngD8l5oTue,
pay_75e7EcsAlXiXPU,order_P9Ax5yC366yyfR,acc_ACMERT0001,339449,INR,wallet,failed,0,0,0,2026-07-08 18:07:11,,,
pay_v2AeHxeFtVtAbb,order_tShO68sxNoo9iE,acc_ACMERT0001,835163,INR,card,captured,16703,3007,815453,2026-07-08 18:26:44,2026-07-08 18:27:15,,exact duplicate record - system logging error
pay_dQhDtkzRG754TX,order_tShO68sxNoo9iE,acc_ACMERT0001,835163,INR,card,captured,16703,3007,815453,2026-07-08 18:26:44,2026-07-08 18:27:15,,
pay_TLFf5GCZdDiGAD,order_KdJDRZtUbzq0aV,acc_ACMERT0001,37767,INR,card,captured,755,136,36876,2026-07-08 18:44:04,2026-07-08 18:44:08,setl_RSc6ngD8l5oTue,
pay_4EEPmW9susPd6X,order_fPKoIVU27c66lA,acc_ACMERT0001,12381,INR,netbanking,captured,235,42,12104,2026-07-08 19:50:31,2026-07-08 19:50:50,setl_RSc6ngD8l5oTue,
pay_Z86lg6gHjpmNHq,order_0wrYzfx9zDKpSo,acc_ACMERT0001,284532,INR,card,captured,5691,1024,277817,2026-07-09 08:05:25,2026-07-09 08:06:01,setl_47BRKT35Otn84P,
pay_ZD6dJA9AJHiypq,order_nvPf7C2xfIU1md,acc_ACMERT0001,60367,INR,card,captured,1207,217,58943,2026-07-09 09:12:51,2026-07-09 09:13:27,setl_47BRKT35Otn84P,
pay_l72ub9nLjW0T0z,order_7etkKpK12yR5Iv,acc_ACMERT0001,922794,INR,card,failed,0,0,0,2026-07-09 09:32:47,,,
pay_xG4FDgZUEW1u6n,order_xuAcK3oVjbqJ7L,acc_ACMERT0001,89953,INR,upi,captured,0,0,89953,2026-07-09 13:21:14,2026-07-09 13:21:30,setl_47BRKT35Otn84P,
pay_WaAi1OoeTjanGD,order_xdNOQ7N6EQFbaI,acc_ACMERT0001,44695,INR,upi,captured,0,0,44695,2026-07-09 15:34:18,2026-07-09 15:34:46,setl_47BRKT35Otn84P,
pay_EdOaSkfF2BPYvK,order_2g5H6con53S4KE,acc_ACMERT0001,3870702,INR,card,captured,77414,13935,3779353,2026-07-09 15:57:34,2026-07-09 15:57:37,,
pay_nEn36vt96an7m9,order_VhVWE6pSMTnz6p,acc_ACMERT0001,599152,INR,upi,captured,0,0,599152,2026-07-09 21:34:41,2026-07-09 21:34:58,setl_47BRKT35Otn84P,
pay_AtrdJ8L4V6lORB,order_JFdw8PQyYHuSAA,acc_ACMERT0001,191014,INR,card,captured,3820,688,186506,2026-07-09 22:15:54,2026-07-09 22:16:04,setl_47BRKT35Otn84P,
pay_FJP8RvqW0F9UPV,order_FDkUYwkiUIFl64,acc_ACMERT0001,65396,INR,upi,captured,0,0,65396,2026-07-09 23:02:53,2026-07-09 23:02:57,setl_47BRKT35Otn84P,
pay_yTYOjVyuxgfa8t,order_CxWrgiflBCJJGA,acc_ACMERT0001,46321,INR,card,refunded,926,167,45228,2026-07-10 09:38:38,2026-07-10 09:39:03,,
pay_A69fh18UjwtvDY,order_nHEwEgCUSCuetc,acc_ACMERT0001,32483,INR,netbanking,captured,617,111,31755,2026-07-10 10:43:51,2026-07-10 10:44:07,setl_k8Vq9RT7SzsIss,
pay_pqQjTBYyeCMELz,order_IG763SAIcY9xS5,acc_ACMERT0001,72277,INR,netbanking,captured,1373,247,70657,2026-07-10 10:49:15,2026-07-10 10:49:38,setl_k8Vq9RT7SzsIss,
pay_kPNcKPRPz9Wv9Y,order_BgagqoGVHJLSKo,acc_ACMERT0001,181194,INR,upi,captured,0,0,181194,2026-07-10 11:22:01,2026-07-10 11:22:20,setl_k8Vq9RT7SzsIss,
pay_NmDgita8zv1NyZ,order_3vCvB003PMituM,acc_ACMERT0001,30590,INR,wallet,captured,535,96,29959,2026-07-10 12:25:20,2026-07-10 12:25:52,setl_k8Vq9RT7SzsIss,
pay_gBo1evMXN9MzXu,order_bOrYCFowJ8yBlR,acc_ACMERT0001,127431,INR,upi,partially_refunded,0,0,127431,2026-07-10 14:45:04,2026-07-10 14:45:14,setl_k8Vq9RT7SzsIss,
pay_asAyXfU5J5pKHk,order_RykirtrFjekBrA,acc_ACMERT0001,578666,INR,card,captured,11573,2083,565010,2026-07-10 15:15:46,2026-07-10 15:16:25,setl_LO9YeE14A7D64M,
pay_9KYpuyr0Yzxh7K,order_mLIlRXJb8UD8Tn,acc_ACMERT0001,14532,INR,upi,captured,0,0,14532,2026-07-10 20:43:31,2026-07-10 20:43:51,setl_k8Vq9RT7SzsIss,
pay_lxSjGyAMiKyBlF,order_OIS6P7lJkFsilu,acc_ACMERT0001,144119,INR,netbanking,captured,2738,493,140888,2026-07-11 07:31:08,2026-07-11 07:31:33,setl_VjCMXcQ7GXmXnU,
pay_3TNOBkNiYn0nZd,order_KwIrMIkuTssKr8,acc_ACMERT0001,3849187,INR,netbanking,captured,73135,13164,3762888,2026-07-11 10:08:48,2026-07-11 10:08:52,setl_VjCMXcQ7GXmXnU,
pay_lJkvJB9DoZzOll,order_OQBzbVN4mCLBya,acc_ACMERT0001,14100,INR,upi,captured,0,0,14100,2026-07-11 10:51:55,2026-07-11 10:52:19,setl_VjCMXcQ7GXmXnU,
pay_umDhqQ3FH9OuMy,order_NzLhww2DNl0RTZ,acc_ACMERT0001,72217,INR,card,captured,1444,260,70513,2026-07-11 11:20:07,2026-07-11 11:20:15,setl_VjCMXcQ7GXmXnU,
pay_dzOtUSWoBPfTga,order_nEeiLoHRCaaSv0,acc_ACMERT0001,927744,INR,card,captured,18555,3340,905849,2026-07-11 11:30:04,2026-07-11 11:30:10,setl_VjCMXcQ7GXmXnU,
pay_D8FuLa3X2UfUDO,order_QSw2eYIzn9B0nF,acc_ACMERT0001,554161,INR,card,captured,11083,1995,541083,2026-07-11 11:36:54,2026-07-11 11:37:16,setl_VjCMXcQ7GXmXnU,
pay_0xI0WcWUCInBgV,order_1PWpt3cCqw30fC,acc_ACMERT0001,25528,INR,netbanking,captured,485,87,24956,2026-07-11 13:51:47,2026-07-11 13:52:10,setl_VjCMXcQ7GXmXnU,
pay_5RWdcgOY1Dbh72,order_kCDa9BmS6i4Ptk,acc_ACMERT0001,297874,INR,netbanking,captured,5660,1019,291195,2026-07-11 18:16:05,2026-07-11 18:16:16,setl_VjCMXcQ7GXmXnU,
pay_UZggux4tiyX0W3,order_iPRjeHKaNPkCwU,acc_ACMERT0001,631709,INR,card,captured,12634,2274,616801,2026-07-11 21:55:13,2026-07-11 21:55:20,,
pay_9JGPFARFAT1CFk,order_fKbYWoscroIskX,acc_ACMERT0001,719373,INR,upi,captured,0,0,719373,2026-07-11 23:07:36,2026-07-11 23:08:11,setl_VjCMXcQ7GXmXnU,
pay_iWhLUyw9BuYipr,order_PfpJMMUMsX8Sb2,acc_ACMERT0001,415425,INR,netbanking,captured,7893,1421,406111,2026-07-11 23:38:32,2026-07-11 23:38:58,setl_VjCMXcQ7GXmXnU,
pay_r3PiS3ipjTu1pW,order_1RzFjKOrOAyCeO,acc_ACMERT0001,622419,INR,netbanking,captured,11826,2129,608464,2026-07-11 23:47:17,2026-07-11 23:47:41,setl_VjCMXcQ7GXmXnU,
pay_PdY5Y9pFyhpFOM,order_eH4ax7uiy31KAx,acc_ACMERT0001,40868,INR,upi,captured,0,0,40868,2026-07-12 09:01:37,2026-07-12 09:01:54,setl_MHsJkjJ9udhReA,
pay_S1VuuCroe8miXX,order_LgjgkCDuAhIw9X,acc_ACMERT0001,27367,INR,card,captured,547,98,26722,2026-07-12 10:05:10,2026-07-12 10:05:30,setl_MHsJkjJ9udhReA,
pay_XXmU5IWYpja7Ab,order_oIwO1S4a8vaWQy,acc_ACMERT0001,308998,INR,netbanking,captured,5871,1057,302070,2026-07-12 13:33:15,2026-07-12 13:33:19,setl_MHsJkjJ9udhReA,
pay_KxhGR5dloZHc9z,order_e4D3sX2tufJDax,acc_ACMERT0001,129668,INR,card,captured,2593,467,126608,2026-07-12 14:29:23,2026-07-12 14:29:55,setl_MHsJkjJ9udhReA,
pay_jTrfc6o52HAS5x,order_DVfLgGiO0zeLKd,acc_ACMERT0001,1993092,INR,upi,captured,0,0,1993092,2026-07-12 16:16:54,2026-07-12 16:17:20,setl_MHsJkjJ9udhReA,
pay_nc7d8YzGsOTGXA,order_BSzfOIINjrftfG,acc_ACMERT0001,1651698,INR,netbanking,captured,31382,5649,1614667,2026-07-12 17:25:37,2026-07-12 17:25:42,setl_MHsJkjJ9udhReA,
pay_kxiVX3rU4hX5bv,order_ZBrHeqTKOeFDGx,acc_ACMERT0001,374987,INR,card,captured,7500,1350,366137,2026-07-12 18:10:16,2026-07-12 18:10:53,setl_MHsJkjJ9udhReA,
