settlement_id,settlement_utr,merchant_id,amount,status,type,payment_count,created_at,settled_at
setl_deFw5UdNW0BfRW,PUNB70159591945757,acc_ACMERT0001,2839273,processed,regular,8,2026-07-23 23:00:00,2026-07-25 14:00:00
setl_4Du7Y28zD35DCj,ICIC66025626506229,acc_ACMERT0001,1647136,processed,regular,8,2026-07-24 23:00:00,2026-07-26 11:00:00
setl_LO9YeE14A7D64M,KKBK35937440394640,acc_ACMERT0001,709624,failed,on_demand,2,2026-07-24 23:00:00,2026-07-26 17:00:00
setl_2JromFMUFBB82k,UTIB05115794238736,acc_ACMERT0001,1440855,processed,regular,9,2026-07-25 23:00:00,2026-07-27 16:00:00
setl_svUxZS3ixKEebC,SBIN63353574859532,acc_ACMERT0001,3448096,processed,regular,12,2026-07-26 23:00:00,2026-07-28 14:00:00
setl_buG4gyWjNufHFD,KKBK41763425073305,acc_ACMERT0001,1323615,processed,regular,4,2026-07-27 23:00:00,2026-07-29 14:00:00
setl_66NZYXfekjvkH0,PUNB83750566186323,acc_ACMERT0001,74615,processed,on_demand,2,2026-07-28 23:00:00,2026-07-30 18:00:00
setl_ZPm97MMhsUdV4m,KKBK84366044324006,acc_ACMERT0001,1111649,processed,regular,8,2026-07-28 23:00:00,2026-07-30 10:00:00
setl_rDrmTMDskLiu9b,HDFC05875256806562,acc_ACMERT0001,5741883,processed,regular,8,2026-07-29 23:00:00,2026-07-31 14:00:00
setl_TiFe7eijgHk8Tp,HDFC55516517680866,acc_ACMERT0001,981913,processed,regular,5,2026-07-30 23:00:00,2026-08-01 11:00:00
setl_RJbdP1SoEccoWo,ICIC28556608470681,acc_ACMERT0001,7467495,processed,regular,9,2026-07-31 23:00:00,2026-08-02 09:00:00
setl_SIGxAVzAKvtfpk,KKBK71506662670551,acc_ACMERT0001,737555,processed,on_demand,1,2026-07-31 23:00:00,2026-08-02 12:00:00
setl_1kznjIa6OVNsrJ,SBIN86239453546147,acc_ACMERT0001,4844165,processed,regular,6,2026-08-01 23:00:00,2026-08-03 09:00:00
setl_73nmWKVVt1SRn4,KKBK45703943804032,acc_ACMERT0001,3302784,processed,regular,6,2026-08-02 23:00:00,2026-08-04 14:00:00
setl_JEc732Eewvmt7G,ICIC01284008385076,acc_ACMERT0001,91939,processed,on_demand,1,2026-08-02 23:00:00,2026-08-04 12:00:00
setl_KwbQ7xPvAV1au3,UTIB12198819277885,acc_ACMERT0001,3171812,processed,on_demand,3,2026-08-02 23:00:00,2026-08-04 10:00:00
setl_MsYQ28peNg4a2b,KKBK00404769210533,acc_ACMERT0001,1016046,processed,regular,9,2026-08-03 23:00:00,2026-08-05 15:00:00
setl_D774Z6nh6OV8RY,HDFC72011379844097,acc_ACMERT0001,1599935,processed,regular,10,2026-08-04 23:00:00,2026-08-06 10:00:00
setl_aK5cQe9X4rTsUE,ICIC40433700968730,acc_ACMERT0001,3945949,processed,regular,7,2026-08-05 23:00:00,2026-08-07 13:00:00
setl_juVOwAlLzxDwXs,ICIC78656194255778,acc_ACMERT0001,5772513,processed,regular,7,2026-08-06 23:00:00,2026-08-08 11:00:00
setl_Ki0Yn0Szf0A4hG,KKBK08190482357155,acc_ACMERT0001,1118560,processed,regular,4,2026-08-07 23:00:00,2026-08-09 17:00:00
setl_fQDZ5vNUx2E99q,KKBK88558298493306,acc_ACMERT0001,26709,processed,on_demand,1,2026-08-07 23:00:00,2026-08-09 12:00:00
setl_S5WmTa5YGZgFj6,HDFC43643813000413,acc_ACMERT0001,3073118,processed,regular,4,2026-08-08 23:00:00,2026-08-10 11:00:00
setl_70yvQTCUUOrjjW,ICIC19646300402369,acc_ACMERT0001,149569,processed,on_demand,1,2026-08-08 23:00:00,2026-08-10 12:00:00
setl_sulTf3i7HMM2gx,HDFC14551293913044,acc_ACMERT0001,511793,processed,on_demand,2,2026-08-09 23:00:00,2026-08-11 17:00:00
setl_MtvyxntBNL6EON,KKBK07075504768169,acc_ACMERT0001,605033,processed,regular,9,2026-08-09 23:00:00,2026-08-11 18:00:00
setl_U1TO7gDyVvpMEc,SBIN48739610290871,acc_ACMERT0001,2788331,processed,regular,9,2026-08-10 23:00:00,2026-08-12 17:00:00
setl_HFl5Cs2kcsMvBh,PUNB21377306260423,acc_ACMERT0001,4594876,processed,regular,6,2026-08-11 23:00:00,2026-08-13 14:00:00
setl_MKbCFxYSBbTH5S,SBIN81670468611145,acc_ACMERT0001,1882939,processed,regular,8,2026-08-12 23:00:00,2026-08-14 16:00:00
setl_CQIxJqEeYQlLAh,KKBK03324260508018,acc_ACMERT0001,1026745,processed,regular,6,2026-08-13 23:00:00,2026-08-15 13:00:00
setl_EEEnglyJOOI2Ze,ICIC28217819236534,acc_ACMERT0001,823307,processed,regular,10,2026-08-14 23:00:00,2026-08-16 15:00:00
setl_M13oV6iEN8YG4A,PUNB23984716906181,acc_ACMERT0001,1573551,processed,regular,8,2026-08-15 23:00:00,2026-08-17 11:00:00
setl_u6t28EGFyW31SL,PUNB89992751758891,acc_ACMERT0001,4486364,processed,regular,5,2026-08-16 23:00:00,2026-08-18 13:00:00
setl_mwtm0vHRArqMBQ,PUNB39243588537982,acc_ACMERT0001,9295048,processed,regular,7,2026-08-17 23:00:00,2026-08-19 10:00:00
setl_FxpzETr7KDIvjq,KKBK14168601347789,acc_ACMERT0001,1163236,processed,regular,7,2026-08-18 23:00:00,2026-08-20 13:00:00
setl_ilhxWZdc2ergJI,SBIN21630900159446,acc_ACMERT0001,3092001,processed,regular,6,2026-08-19 23:00:00,2026-08-21 12:00:00
setl_uWokZ90ynINb9k,HDFC99471136337922,acc_ACMERT0001,1400130,processed,regular,8,2026-08-20 23:00:00,2026-08-22 12:00:00
setl_2fATCCjV4y2NWy,HDFC84376855078967,acc_ACMERT0001,4562242,processed,regular,5,2026-08-21 23:00:00,2026-08-23 18:00:00
setl_wzrpTs5oyM4E9b,PUNB93170695560767,acc_ACMERT0001,3396513,processed,regular,7,2026-08-22 23:00:00,2026-08-24 15:00:00
setl_HMHZm2cyxdWofT,ICIC19804184724264,acc_ACMERT0001,1595818,processed,regular,7,2026-08-23 23:00:00,2026-08-25 11:00:00
